exchange_way	currency	buy	sell	buy_sell	conversion
Цифровой банк	USD	3.235	3.275	1	0
Цифровой банк	EUR	3.51	3.58	1	0
Цифровой банк	RUB    за 100 RUB	3.0	3.3	1	0
Цифровой банк	USD / RUB	97.11	109.64	0	1
Цифровой банк	EUR / USD	1.081	1.11	0	1
Цифровой банк	EUR / RUB	105.24	118.79	0	1
По карточке	USD	3.235	3.275	1	0
По карточке	EUR	3.51	3.58	1	0
По карточке	RUB    за 100 RUB	3.0	3.3	1	0
По карточке	USD / RUB	97.11	109.64	0	1
По карточке	EUR / USD	1.081	1.11	0	1
По карточке	EUR / RUB	105.24	118.79	0	1
Наличные	до 200 USD	3.225	3.28	1	0
Наличные	от 200 до 1000 USD	3.225	3.28	1	0
Наличные	от 1000 USD	3.225	3.28	1	0
Наличные	до 200 EUR	3.5	3.585	1	0
Наличные	от 200 до 1000 EUR	3.5	3.585	1	0
Наличные	от 1000 EUR	3.5	3.585	1	0
Наличные	до 5000 RUB	3.0	3.31	1	0
Наличные	от 5000 до 50 000 RUB	3.0	3.31	1	0
Наличные	от 50 000 RUB	3.0	3.31	1	0
Наличные	USD / RUB	97.11	109.64	0	1
Наличные	EUR / USD	1.081	1.11	0	1
Наличные	EUR / RUB	105.24	118.79	0	1
