exchange_way	currency	buy	sell	buy_sell	conversion
Цифровой банк	USD	2.93	2.957	1	0
Цифровой банк	EUR	3.15	3.19	1	0
Цифровой банк	RUB    за 100 RUB	2.7	3.67	1	0
Цифровой банк	USD / RUB	79.5	108.5	0	1
Цифровой банк	EUR / USD	1.067	1.087	0	1
Цифровой банк	EUR / RUB	85.0	117.3	0	1
По карточке	USD	2.93	2.957	1	0
По карточке	EUR	3.15	3.19	1	0
По карточке	RUB    за 100 RUB	2.7	3.67	1	0
По карточке	USD / RUB	79.5	108.5	0	1
По карточке	EUR / USD	1.067	1.087	0	1
По карточке	EUR / RUB	85.0	117.3	0	1
Наличные	до 200 USD	2.92	2.96	1	0
Наличные	от 200 до 1000 USD	2.92	2.96	1	0
Наличные	от 1000 USD	2.92	2.96	1	0
Наличные	до 200 EUR	3.14	3.195	1	0
Наличные	от 200 до 1000 EUR	3.14	3.195	1	0
Наличные	от 1000 EUR	3.14	3.195	1	0
Наличные	до 5000 RUB	2.7	3.68	1	0
Наличные	от 5000 до 50 000 RUB	2.7	3.68	1	0
Наличные	от 50 000 RUB	2.7	3.68	1	0
Наличные	USD / RUB	79.5	108.5	0	1
Наличные	EUR / USD	1.067	1.087	0	1
Наличные	EUR / RUB	85.0	117.3	0	1
