exchange_way	currency	buy	sell	buy_sell	conversion
Цифровой банк	USD	3.015	3.04	1	0
Цифровой банк	EUR	3.32	3.37	1	0
Цифровой банк	RUB    за 100 RUB	2.8	3.44	1	0
Цифровой банк	USD / RUB	87.5	108.5	0	1
Цифровой банк	EUR / USD	1.095	1.115	0	1
Цифровой банк	EUR / RUB	96.5	119.5	0	1
По карточке	USD	3.015	3.04	1	0
По карточке	EUR	3.32	3.37	1	0
По карточке	RUB    за 100 RUB	2.8	3.44	1	0
По карточке	USD / RUB	87.5	108.5	0	1
По карточке	EUR / USD	1.095	1.115	0	1
По карточке	EUR / RUB	96.5	119.5	0	1
Наличные	до 200 USD	3.01	3.045	1	0
Наличные	от 200 до 1000 USD	3.01	3.045	1	0
Наличные	от 1000 USD	3.01	3.045	1	0
Наличные	до 200 EUR	3.315	3.373	1	0
Наличные	от 200 до 1000 EUR	3.315	3.373	1	0
Наличные	от 1000 EUR	3.315	3.373	1	0
Наличные	до 5000 RUB	2.8	3.45	1	0
Наличные	от 5000 до 50 000 RUB	2.8	3.45	1	0
Наличные	от 50 000 RUB	2.8	3.45	1	0
Наличные	USD / RUB	87.5	108.5	0	1
Наличные	EUR / USD	1.095	1.115	0	1
Наличные	EUR / RUB	96.5	119.5	0	1
